event,idx,time_sec,pc1,pc2,type,k_type,db_type,image,image_exists
63,96266,96.266,1.1808406498710367,-0.6440274386790299,1,1,0,Raster_Evt063_1ch.png,True
64,97684,97.684,0.028338801672106992,-0.4965493917806065,2,2,1,Raster_Evt064_1ch.png,True
65,100846,100.846,-0.27950443766048194,0.28158025856057645,2,2,1,Raster_Evt065_1ch.png,True
66,101001,101.001,2.2060293511324476,1.053236538303487,1,1,2,Raster_Evt066_1ch.png,True
67,101369,101.369,0.01652902649692125,-0.13577817301552778,2,2,1,Raster_Evt067_1ch.png,True
68,102204,102.204,-0.47095568421703055,0.18991837035376624,2,2,1,Raster_Evt068_1ch.png,True
69,104357,104.357,-0.39640325834743706,-0.0054960756269707405,2,2,1,Raster_Evt069_1ch.png,True
70,105257,105.257,-0.20370440215348326,-0.17937395110206136,2,2,1,Raster_Evt070_1ch.png,True
71,105506,105.506,-0.5884187892907768,0.5324267902437931,2,2,1,Raster_Evt071_1ch.png,True
72,105669,105.669,-0.44383462003655555,0.6176972274242102,2,2,1,Raster_Evt072_1ch.png,True
73,109548,109.548,1.3211534037582529,-0.4807112285362819,1,1,0,Raster_Evt073_1ch.png,True
74,114028,114.028,-0.2966045632574123,0.2862007068370852,2,2,1,Raster_Evt074_1ch.png,True
75,114145,114.145,-0.5202118607807468,0.306897084738126,2,2,1,Raster_Evt075_1ch.png,True
76,114441,114.441,-0.23257902835189706,0.05973372062172485,2,2,1,Raster_Evt076_1ch.png,True
77,114654,114.654,0.020520369265407547,0.7839932113705326,2,2,1,Raster_Evt077_1ch.png,True
78,114906,114.906,-0.15999314090483066,0.39838893962416505,2,2,1,Raster_Evt078_1ch.png,True
79,117440,117.44,-0.2806700376530222,-0.2293521618552029,2,2,1,Raster_Evt079_1ch.png,True
80,122586,122.586,-0.1775820705012095,0.4604587019053629,2,2,1,Raster_Evt080_1ch.png,True
81,123083,123.083,-0.05718887559440106,-0.12092048067953201,2,2,1,Raster_Evt081_1ch.png,True
82,123751,123.751,0.6413364422172385,-0.6588807005678651,1,1,1,Raster_Evt082_1ch.png,True
83,129387,129.387,0.24286716860414684,-0.6206789152274231,2,2,1,Raster_Evt083_1ch.png,True
84,129781,129.781,-0.0368223502079593,-0.28106680260851447,2,2,1,Raster_Evt084_1ch.png,True
85,133566,133.566,0.23566378251282363,-0.825385224109055,2,2,1,Raster_Evt085_1ch.png,True
86,133870,133.87,-0.08598844872971075,-0.3256655002275787,2,2,1,Raster_Evt086_1ch.png,True
87,134805,134.805,-0.4307749289527555,0.028964054425288738,2,2,1,Raster_Evt087_1ch.png,True
88,135549,135.549,-0.4356069218206335,0.5953418618702798,2,2,1,Raster_Evt088_1ch.png,True
89,135820,135.82,-0.49002847773514796,0.07938127983012008,2,2,1,Raster_Evt089_1ch.png,True
90,136183,136.183,0.5492437192915792,-0.9276924394188897,1,1,1,Raster_Evt090_1ch.png,True
91,140628,140.628,-0.4422871542361152,0.1633296612730058,2,2,1,Raster_Evt091_1ch.png,True
92,140954,140.954,-0.5592039049192805,0.000158093700754766,2,2,1,Raster_Evt092_1ch.png,True
93,141291,141.291,-0.2061764543050896,-0.17133375457508607,2,2,1,Raster_Evt093_1ch.png,True
